Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,SourceId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,jzjan2025__EngineeringReqNumber__c,jzjan2025__SLAViolation__c,jzjan2025__Product__c,jzjan2025__PotentialLiability__c,jzjan2025__Quick_Summary__c
500F900001hiWbQIAU,,00001008,003F900001oSqrUIAS,001F900001pMcLQIA0,,,,,,,,Other,Closed,Feedback,Web,Customer service for portable generators needs beefing up,Low,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(312) 596-1000,(312) 596-1230,barr_tim@grandhotels.com,(312) 596-1500,,,,No,GC1020,No,
500F900001hiWbTIAU,,00001011,003F900001oSqreIAC,001F900001pMcLVIA0,,,,,,,,Electronic,Closed,Equipment Design,Web,Electronic panel fitting loose,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(650) 450-8810,(650) 345-6637,ldcruz@uog.com,(650) 450-8820,,,965884,No,GC3020,No,
500F900001hiWbUIAU,,00001012,003F900001oSqraIAC,001F900001pMcLTIA0,,,,,,,,Electrical,Closed,Breakdown,Web,Repeated motor breakdown while shutting off,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(520) 773-9050,(520) 773-4539,jane_gray@uoa.edu,(520) 773-9060,,,347209,Yes,GC1020,Yes,
500F900001hiWbVIAU,,00001013,003F900001oSqrVIAS,001F900001pMcLQIA0,,,,,,,,Other,Closed,Equipment Design,Web,Starting up generator consumes excessive power,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(312) 596-1000,(312) 596-1563,bond_john@grandhotels.com,(312) 596-1500,,,654623,No,GC5020,No,
500F900001hiWbWIAU,,00001014,003F900001oSqrVIAS,001F900001pMcLQIA0,,,,,,,,Other,Closed,Installation,Phone,Delay in installation; spare parts unavailable,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(312) 596-1000,(312) 596-1563,bond_john@grandhotels.com,(312) 596-1500,,,,No,GC3020,Yes,
500F900001hiWbXIAU,,00001015,003F900001oSqreIAC,001F900001pMcLVIA0,,,,,,,,Mechanical,Closed,Breakdown,Web,Frequent mechanical breakdown,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(650) 450-8810,(650) 345-6637,ldcruz@uog.com,(650) 450-8820,,,354982,No,GC3060,Yes,
500F900001hiWbYIAU,,00001016,003F900001oSqrfIAC,001F900001pMcLWIA0,,,,,,,,Other,New,Feedback,Web,Maintenance guidelines for generator unclear,Low,,,,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(650) 867-3450,(650) 867-7686,efrank@genepoint.com,(650) 867-9895,,,651375,No,GC5020,No,
500F900001hiWbZIAU,,00001017,003F900001oSqrQIAS,001F900001pMcLMIA0,,,,,,,,Mechanical,Closed,Equipment Complexity,Web,Shutting down of generator,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(512) 757-6000,(512) 757-4561,sean@edge.com,(512) 757-9000,,,736734,No,GC1040,No,
500F900001hiWbaIAE,,00001018,003F900001oSqrQIAS,001F900001pMcLMIA0,,,,,,,,Electrical,Closed,Equipment Complexity,Phone,Cannot start generator after electrical failure,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(512) 757-6000,(512) 757-4561,sean@edge.com,(512) 757-9000,,,526714,No,GC1040,No,
500F900001hiWbbIAE,,00001019,003F900001oSqrRIAS,001F900001pMcLNIA0,,,,,,,,Structural,Closed,Equipment Design,Web,Structural failure of generator base,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(336) 222-7000,,jrogers@burlington.com,(336) 222-8000,,,636265,No,GC5060,Yes,
500F900001hiWbcIAE,,00001020,003F900001oSqrRIAS,001F900001pMcLNIA0,,,,,,,,Electrical,Closed,Performance,Phone,Power generation below stated level,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(336) 222-7000,,jrogers@burlington.com,(336) 222-8000,,,237645,No,GC3060,Yes,
500F900001hiWbdIAE,,00001021,003F900001oSqrWIAS,001F900001pMcLRIA0,,,,,,,,Structural,Closed,Installation,Phone,Generator GC3060 platform structure is weakening,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5501,spavlova@uog.com,(212) 842-5501,,,435143,,GC3060,Yes,
500F900001hiWbeIAE,,00001022,003F900001oSqrWIAS,001F900001pMcLRIA0,,,,,,,,Electronic,Closed,Performance,Web,Signal panel on GC5060 blinks intermittently,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5501,spavlova@uog.com,(212) 842-5501,,,456345,No,GC5060,No,
500F900001hiWbfIAE,,00001023,003F900001oSqrWIAS,001F900001pMcLRIA0,,,,,,,,Electrical,Closed,Other,Phone,Electric surge damaging adjacent equipment,High,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5501,spavlova@uog.com,(212) 842-5501,,,265794,No,GC5060,No,
500F900001hiWbgIAE,,00001025,003F900001oSqrXIAS,001F900001pMcLRIA0,,,,,,,,Electrical,Closed,Equipment Design,Phone,Motor design hindering performance,Medium,,1,2023-12-14T18:59:51.000+0000,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5611,lboyle@uog.com,(212) 842-5501,,,572546,No,GC5040,No,
500F900001hiWbhIAE,,00001024,003F900001oSqrXIAS,001F900001pMcLRIA0,,,,,,,,Mechanical,New,Equipment Design,Web,Design issue with mechanical rotor,Low,,,,,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,005F900000AExM4IAL,2025-02-01T13:22:17.000+0000,(212) 842-5500,(212) 842-5611,lboyle@uog.com,(212) 842-5501,,,868314,No,GC3040,No,
